p:(0.187474,0.472988),h:0,n:2,cr:0.520592;
p:(0.74788,0.528094),h:0,n:2,cr:0.545513;
p:(0.000316458,0.571944),h:1,n:0,cr:0;
p:(0.00275357,0.69393),h:1,n:0,cr:0;
p:(0.0291673,0.776177),h:1,n:0,cr:0;
p:(0.0583313,0.627333),h:1,n:0,cr:0;
p:(0.061109,0.181234),h:1,n:0,cr:0;
p:(0.0729787,0.26354),h:1,n:0,cr:0;
p:(0.0835568,0.785473),h:1,n:0,cr:0;
p:(0.0942663,0.98317),h:1,n:0,cr:0;
p:(0.106312,0.00518237),h:1,n:0,cr:0;
p:(0.112471,0.910878),h:1,n:0,cr:0;
p:(0.119108,0.989071),h:1,n:0,cr:0;
p:(0.132416,0.0475055),h:1,n:0,cr:0;
p:(0.143509,0.763312),h:1,n:0,cr:0;
p:(0.152709,0.218566),h:1,n:0,cr:0;
p:(0.164745,0.760028),h:1,n:0,cr:0;
p:(0.183497,0.670361),h:1,n:0,cr:0;
p:(0.186788,0.873969),h:1,n:0,cr:0;
p:(0.187474,0.472988),h:1,n:0,cr:0;
p:(0.199523,0.872448),h:1,n:0,cr:0;
p:(0.2127,0.247207),h:1,n:0,cr:0;
p:(0.224603,0.339101),h:1,n:0,cr:0;
p:(0.243159,0.299518),h:1,n:0,cr:0;
p:(0.248011,0.976022),h:1,n:0,cr:0;
p:(0.265975,0.94193),h:1,n:0,cr:0;
p:(0.276387,0.822008),h:1,n:0,cr:0;
p:(0.288919,0.427964),h:1,n:0,cr:0;
p:(0.292405,0.975747),h:1,n:0,cr:0;
p:(0.30257,0.568754),h:1,n:0,cr:0;
p:(0.305036,0.827074),h:1,n:0,cr:0;
p:(0.314976,0.242919),h:1,n:0,cr:0;
p:(0.340548,0.311404),h:1,n:0,cr:0;
p:(0.355328,0.440087),h:1,n:0,cr:0;
p:(0.357476,0.30034),h:1,n:0,cr:0;
p:(0.35913,0.364561),h:1,n:0,cr:0;
p:(0.373025,0.456489),h:1,n:0,cr:0;
p:(0.374023,0.217933),h:1,n:0,cr:0;
p:(0.429675,0.0239837),h:1,n:0,cr:0;
p:(0.459196,0.159003),h:1,n:0,cr:0;
p:(0.387198,0.574509),h:1,n:0,cr:0;
p:(0.390533,0.854297),h:1,n:0,cr:0;
p:(0.436821,0.328437),h:1,n:0,cr:0;
p:(0.442619,0.587759),h:1,n:0,cr:0;
p:(0.445861,0.383221),h:1,n:0,cr:0;
p:(0.453598,0.884044),h:1,n:0,cr:0;
p:(0.463764,0.342836),h:1,n:0,cr:0;
p:(0.466118,0.388498),h:1,n:0,cr:0;
p:(0.491202,0.855961),h:1,n:0,cr:0;
p:(0.5119,0.990461),h:1,n:0,cr:0;
p:(0.517924,0.0656829),h:1,n:0,cr:0;
p:(0.531394,0.953093),h:1,n:0,cr:0;
p:(0.53917,0.599954),h:1,n:0,cr:0;
p:(0.541583,0.886194),h:1,n:0,cr:0;
p:(0.555959,0.256541),h:1,n:0,cr:0;
p:(0.558679,0.936461),h:1,n:0,cr:0;
p:(0.570749,0.382809),h:1,n:0,cr:0;
p:(0.571963,0.0117245),h:1,n:0,cr:0;
p:(0.575581,0.552757),h:1,n:0,cr:0;
p:(0.594568,0.900099),h:1,n:0,cr:0;
p:(0.596155,0.944364),h:1,n:0,cr:0;
p:(0.599949,0.894521),h:1,n:0,cr:0;
p:(0.600306,0.256482),h:1,n:0,cr:0;
p:(0.610692,0.853546),h:1,n:0,cr:0;
p:(0.611268,0.142198),h:1,n:0,cr:0;
p:(0.641254,0.998329),h:1,n:0,cr:0;
p:(0.644044,0.855476),h:1,n:0,cr:0;
p:(0.648081,0.59653),h:1,n:0,cr:0;
p:(0.648527,0.0132281),h:1,n:0,cr:0;
p:(0.652332,0.609837),h:1,n:0,cr:0;
p:(0.652403,0.128341),h:1,n:0,cr:0;
p:(0.664724,0.128473),h:1,n:0,cr:0;
p:(0.665097,0.740182),h:1,n:0,cr:0;
p:(0.667694,0.96003),h:1,n:0,cr:0;
p:(0.702369,0.070826),h:1,n:0,cr:0;
p:(0.704241,0.207403),h:1,n:0,cr:0;
p:(0.730403,0.3972),h:1,n:0,cr:0;
p:(0.731826,0.0605567),h:1,n:0,cr:0;
p:(0.74788,0.528094),h:1,n:0,cr:0;
p:(0.749204,0.0793466),h:1,n:0,cr:0;
p:(0.759002,0.772724),h:1,n:0,cr:0;
p:(0.759696,0.286977),h:1,n:0,cr:0;
p:(0.76334,0.853326),h:1,n:0,cr:0;
p:(0.779167,0.933437),h:1,n:0,cr:0;
p:(0.78992,0.888897),h:1,n:0,cr:0;
p:(0.798745,0.923279),h:1,n:0,cr:0;
p:(0.810986,0.506947),h:1,n:0,cr:0;
p:(0.829894,0.479128),h:1,n:0,cr:0;
p:(0.839891,0.93678),h:1,n:0,cr:0;
p:(0.852191,0.985126),h:1,n:0,cr:0;
p:(0.855992,0.685958),h:1,n:0,cr:0;
p:(0.86467,0.379365),h:1,n:0,cr:0;
p:(0.867953,0.597284),h:1,n:0,cr:0;
p:(0.883436,0.737026),h:1,n:0,cr:0;
p:(0.887783,0.0447325),h:1,n:0,cr:0;
p:(0.895417,0.461067),h:1,n:0,cr:0;
p:(0.899654,0.710982),h:1,n:0,cr:0;
p:(0.900584,0.48813),h:1,n:0,cr:0;
p:(0.931964,0.0172003),h:1,n:0,cr:0;
p:(0.977763,0.636129),h:1,n:0,cr:0;
p:(0.982698,0.710706),h:1,n:0,cr:0;
p:(0.984439,0.372413),h:1,n:0,cr:0;
p:(0.986407,0.150274),h:1,n:0,cr:0;
p:(0.989843,0.18817),h:1,n:0,cr:0;
p:(0.995597,0.941991),h:1,n:0,cr:0;
